VISIT_DATE,CONSTRUCTION_NO,STATE_CODE,STATE_CODE_EXP,VISIT_NO,RUN_NUMBER,SHRP_ID,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,IRI_CENTER_LANE,MRI
01-22-1990,1,6,California,06820101,7,8201,1.289999962,1.347000003,,1.317999959
11-18-2004,1,6,California,06820111,2,8201,1.621999979,1.677000046,,1.649999976
11-04-2004,1,6,California,06264711,4,2647,1.868000031,1.822000027,,1.845000029
11-18-2004,1,6,California,06820111,7,8201,1.623000026,1.633000016,,1.628000021
11-04-2004,1,6,California,06264711,2,2647,2.052000046,1.57099998,,1.812000036
11-04-2004,1,6,California,06264711,3,2647,2.11500001,1.610999942,,1.863000035
11-04-2004,1,6,California,06264711,7,2647,2.121000051,1.597000003,,1.858999968
11-18-2004,1,6,California,06820111,5,8201,1.677000046,1.67900002,,1.677999973
11-18-2004,1,6,California,06820111,8,8201,1.63499999,1.652999997,,1.644000053
11-18-2004,1,6,California,06820111,6,8201,1.631000042,1.700000048,,1.664999962
11-04-2004,1,6,California,06264711,5,2647,2.078000069,1.741999984,,1.909999967
01-22-1990,1,6,California,06820101,4,8201,1.31099999,1.33099997,,1.32099998
01-22-1990,1,6,California,06820101,8,8201,1.289000034,1.340999961,,1.315000057
03-29-1995,1,6,California,06820105,7,8201,1.378000021,1.373999953,,1.376000047
01-22-1990,1,6,California,06820101,2,8201,1.289999962,1.35800004,,1.324000001
09-23-1998,1,6,California,06264707,4,2647,1.003000021,1.166000009,,1.083999991
03-16-1992,1,6,California,06264703,6,2647,0.922999978,0.93599999,,0.92900002
09-23-1998,1,6,California,06264707,7,2647,0.985000014,1.161999941,,1.074000001
05-05-1998,1,6,California,06125311,4,1253,2.009000063,2.27699995,,2.142999887
06-10-1994,1,6,California,06125310,3,1253,1.618999958,1.968999982,,1.79400003
03-15-1993,1,6,California,06200404,4,2004,1.863999963,2.335000038,,2.099999905
12-16-1989,1,6,California,06264701,3,2647,0.856999993,0.90200001,,0.879999995
04-10-1992,1,6,California,06125305,2,1253,1.628999949,1.93599999,,1.782999992
